Ramal;Tempo Total;TMA Ativo;TMA Receptivo;TMA Total;Efetuadas;Atendidas;NA;Ocupadas;Falhas;data-do-documento: 2022-04-26 19:44:12
2001;185:01:44;00:01:01;00:00:00;00:01:01;11003;8803;560;126;1514
2003;184:45:21;00:00:47;00:00:00;00:00:47;14080;10317;1770;197;1796
2005;81:17:20;00:00:45;00:00:00;00:00:45;6475;4928;564;60;923
2007;144:47:10;00:00:48;00:00:00;00:00:48;10830;7494;1917;150;1269
2009;146:25:15;00:00:51;00:00:00;00:00:51;10273;7667;1043;158;1405
2010;04:26:41;00:01:10;00:00:00;00:01:10;227;163;47;0;17
3002;22:12:16;00:01:07;00:00:00;00:01:07;1196;831;89;6;270
3003;01:07:56;00:00:27;00:00:00;00:00:27;152;110;10;3;29
3004;01:01:57;00:00:59;00:00:00;00:00:59;63;46;8;1;8
3098;00:00:00;00:00:00;00:00:00;00:00:00;3;0;3;0;0
3099;00:23:41;00:00:59;00:00:14;00:00:57;24;21;3;0;0
